Team,Elo_Rating
Leinster,1830.0785626708941
Bath Rugby,1779.9963782519394
Union Bordeaux Bègles,1758.5197658832626
Glasgow,1757.5791806131176
Stade Toulousain,1742.6757541640652
Northampton Saints,1711.9434370302342
Bristol Bears,1701.252419025071
Bulls Super Rugby,1686.3104582681487
Stormers,1677.1242155653808
Stade Français Paris,1626.093098772482
Sale Sharks,1626.0132986563087
Stade Rochelais,1617.7234225653865
Montpellier Hérault Rugby,1616.6669068847398
Saracens,1614.2993151828332
Munster,1607.355617922819
RC Toulonnais,1606.5492006288525
Ulster,1603.405847639644
Leicester Tigers,1603.2669480879567
Section Paloise,1571.4900029222138
Harlequins,1560.0673717446607
Exeter Chiefs,1544.1081111644446
London Irish,1541.5754029986615
Bristol Rugby,1541.0947357950843
Edinburgh,1540.287865021429
Castres Olympique,1520.4769207577017
Benetton,1520.2096709168902
FC Grenoble,1494.1198497158398
ASM Clermont Auvergne,1484.5024303045118
The Sharks,1481.7622241819677
Lions,1476.9878707618493
Racing Métro 92,1473.9646633522898
Worcester Warriors,1469.6111186413236
Wasps,1457.17479961758
Cardiff Rugby,1451.8103213365252
Ospreys,1444.8643064677565
Newcastle Red Bulls,1436.2639602551321
Lions Super Rugby,1425.7670098216133
Aviron Bayonnais,1423.616309978462
Gloucester,1415.2119117060504
Connacht,1399.4843158331569
Lyon OU,1398.7763274103604
Bulls,1395.0805846986066
Vannes,1387.135843085763
Scarlets,1333.798582238661
Black Lion,1310.6704310563553
USA Perpignan,1295.2521931962071
Cheetahs,1282.2034511094266
CA Brive,1281.1645258192061
Oyonnax Rugby,1274.142676247597
Zebre,1228.263873339143
US Montauban,1212.7087305042683
Dragons,1179.287687332227
Newcastle Falcons,1080.210092853898
