Date,Home_Team,Away_Team,Home_Score,Away_Score,Competition,Neutral_Venue
16/09/2022,Benetton,Glasgow,33,11,URC,FALSE
17/09/2022,Zebre,Leinster,29,33,URC,FALSE
17/09/2022,Cardiff Rugby,Munster,20,13,URC,FALSE
17/09/2022,Lions Super Rugby,Bulls Super Rugby,15,31,URC,FALSE
17/09/2022,Scarlets,Ospreys,23,23,URC,FALSE
17/09/2022,Edinburgh,Dragons,44,6,URC,FALSE
17/09/2022,Ulster,Connacht,36,10,URC,FALSE
23/09/2022,Zebre,The Sharks,37,42,URC,FALSE
23/09/2022,Glasgow,Cardiff Rugby,52,24,URC,FALSE
23/09/2022,Leinster,Benetton,42,10,URC,FALSE
24/09/2022,Scarlets,Ulster,39,55,URC,FALSE
24/09/2022,Bulls Super Rugby,Edinburgh,33,31,URC,FALSE
24/09/2022,Stormers,Connacht,38,15,URC,FALSE
24/09/2022,Ospreys,Lions Super Rugby,27,28,URC,FALSE
25/09/2022,Dragons,Munster,23,17,URC,FALSE
30/09/2022,Bulls Super Rugby,Connacht,28,14,URC,FALSE
30/09/2022,Ulster,Leinster,13,20,URC,FALSE
30/09/2022,Cardiff Rugby,Lions Super Rugby,18,31,URC,FALSE
01/10/2022,Stormers,Edinburgh,34,18,URC,FALSE
01/10/2022,Ospreys,Glasgow,32,17,URC,FALSE
01/10/2022,Munster,Zebre,21,5,URC,FALSE
01/10/2022,Benetton,Scarlets,34,23,URC,FALSE
01/10/2022,Dragons,The Sharks,19,20,URC,FALSE
07/10/2022,Connacht,Munster,20,11,URC,FALSE
07/10/2022,Edinburgh,Lions Super Rugby,19,22,URC,FALSE
08/10/2022,Zebre,Stormers,20,37,URC,FALSE
08/10/2022,Leinster,The Sharks,54,34,URC,FALSE
08/10/2022,Scarlets,Cardiff Rugby,10,16,URC,FALSE
08/10/2022,Glasgow,Bulls Super Rugby,35,21,URC,FALSE
08/10/2022,Ulster,Ospreys,47,17,URC,FALSE
09/10/2022,Benetton,Dragons,34,14,URC,FALSE
14/10/2022,Connacht,Leinster,0,10,URC,FALSE
14/10/2022,Ospreys,Stormers,16,16,URC,FALSE
15/10/2022,Lions Super Rugby,Ulster,37,39,URC,FALSE
15/10/2022,The Sharks,Glasgow,40,12,URC,FALSE
15/10/2022,Edinburgh,Benetton,53,8,URC,FALSE
15/10/2022,Cardiff Rugby,Dragons,31,14,URC,FALSE
15/10/2022,Munster,Bulls Super Rugby,31,17,URC,FALSE
15/10/2022,Scarlets,Zebre,36,12,URC,FALSE
21/10/2022,Benetton,Bulls Super Rugby,22,44,URC,FALSE
21/10/2022,Connacht,Scarlets,36,14,URC,FALSE
22/10/2022,Zebre,Edinburgh,19,38,URC,FALSE
22/10/2022,Leinster,Munster,27,13,URC,FALSE
22/10/2022,Cardiff Rugby,Stormers,30,24,URC,FALSE
23/10/2022,Dragons,Ospreys,32,25,URC,FALSE
28/10/2022,Glasgow,Benetton,37,0,URC,FALSE
28/10/2022,Scarlets,Leinster,5,35,URC,FALSE
29/10/2022,Lions Super Rugby,Stormers,22,31,URC,FALSE
29/10/2022,Dragons,Zebre,47,7,URC,FALSE
29/10/2022,Munster,Ulster,14,15,URC,FALSE
29/10/2022,Ospreys,Connacht,19,22,URC,FALSE
30/10/2022,Bulls Super Rugby,The Sharks,40,27,URC,FALSE
30/10/2022,Cardiff Rugby,Edinburgh,17,25,URC,FALSE
25/11/2022,Stormers,Scarlets,36,19,URC,FALSE
25/11/2022,Ulster,Zebre,36,15,URC,FALSE
26/11/2022,Bulls Super Rugby,Ospreys,43,26,URC,FALSE
26/11/2022,Benetton,Edinburgh,24,17,URC,FALSE
26/11/2022,Leinster,Glasgow,40,5,URC,FALSE
26/11/2022,Munster,Connacht,24,17,URC,FALSE
27/11/2022,Lions Super Rugby,Dragons,33,25,URC,FALSE
27/11/2022,The Sharks,Cardiff Rugby,0,35,URC,FALSE
02/12/2022,The Sharks,Ospreys,25,10,URC,FALSE
02/12/2022,Edinburgh,Munster,17,38,URC,FALSE
03/12/2022,Stormers,Dragons,34,26,URC,FALSE
03/12/2022,Zebre,Glasgow,17,45,URC,FALSE
03/12/2022,Connacht,Benetton,38,19,URC,FALSE
03/12/2022,Bulls Super Rugby,Cardiff Rugby,45,9,URC,FALSE
03/12/2022,Leinster,Ulster,38,29,URC,FALSE
04/12/2022,Lions Super Rugby,Scarlets,32,15,URC,FALSE
23/12/2022,The Sharks,Lions Super Rugby,37,10,URC,FALSE
23/12/2022,Stormers,Bulls Super Rugby,37,27,URC,FALSE
23/12/2022,Connacht,Ulster,20,22,URC,FALSE
23/12/2022,Glasgow,Edinburgh,16,10,URC,FALSE
24/12/2022,Benetton,Zebre,38,5,URC,FALSE
26/12/2022,Dragons,Cardiff Rugby,24,29,URC,FALSE
26/12/2022,Ospreys,Scarlets,34,14,URC,FALSE
26/12/2022,Munster,Leinster,19,20,URC,FALSE
30/12/2022,Edinburgh,Glasgow,25,32,URC,FALSE
31/12/2022,Zebre,Benetton,17,40,URC,FALSE
31/12/2022,The Sharks,Bulls Super Rugby,47,20,URC,FALSE
31/12/2022,Stormers,Lions Super Rugby,40,8,URC,FALSE
01/01/2023,Cardiff Rugby,Ospreys,19,22,URC,FALSE
01/01/2023,Ulster,Munster,14,15,URC,FALSE
01/01/2023,Scarlets,Dragons,33,17,URC,FALSE
01/01/2023,Leinster,Connacht,41,12,URC,FALSE
06/01/2023,Dragons,Bulls Super Rugby,14,29,URC,FALSE
06/01/2023,Munster,Lions Super Rugby,33,3,URC,FALSE
07/01/2023,Benetton,Ulster,31,29,URC,FALSE
07/01/2023,Edinburgh,Zebre,24,17,URC,FALSE
07/01/2023,Connacht,The Sharks,24,12,URC,FALSE
07/01/2023,Cardiff Rugby,Scarlets,22,28,URC,FALSE
07/01/2023,Ospreys,Leinster,19,24,URC,FALSE
08/01/2023,Glasgow,Stormers,24,17,URC,FALSE
27/01/2023,Scarlets,Bulls Super Rugby,37,28,URC,FALSE
27/01/2023,Ulster,Stormers,35,5,URC,FALSE
28/01/2023,Benetton,Munster,30,40,URC,FALSE
28/01/2023,Dragons,Glasgow,28,42,URC,FALSE
28/01/2023,Leinster,Cardiff Rugby,38,14,URC,FALSE
28/01/2023,Edinburgh,The Sharks,19,22,URC,FALSE
28/01/2023,Connacht,Lions Super Rugby,43,24,URC,FALSE
29/01/2023,Zebre,Ospreys,24,28,URC,FALSE
04/02/2023,The Sharks,Stormers,19,46,URC,FALSE
17/02/2023,Glasgow,Ulster,17,11,URC,FALSE
17/02/2023,Munster,Ospreys,58,3,URC,FALSE
18/02/2023,Lions Super Rugby,The Sharks,7,29,URC,FALSE
18/02/2023,Zebre,Connacht,34,57,URC,FALSE
18/02/2023,Bulls Super Rugby,Stormers,19,23,URC,FALSE
18/02/2023,Cardiff Rugby,Benetton,30,13,URC,FALSE
18/02/2023,Scarlets,Edinburgh,42,14,URC,FALSE
18/02/2023,Leinster,Dragons,43,14,URC,FALSE
25/02/2023,The Sharks,Ulster,24,31,URC,FALSE
25/02/2023,Lions Super Rugby,Glasgow,35,24,URC,FALSE
03/03/2023,Glasgow,Zebre,50,8,URC,FALSE
03/03/2023,Munster,Scarlets,49,42,URC,FALSE
04/03/2023,Stormers,The Sharks,29,23,URC,FALSE
04/03/2023,Bulls Super Rugby,Lions Super Rugby,25,29,URC,FALSE
04/03/2023,Edinburgh,Leinster,27,47,URC,FALSE
04/03/2023,Ospreys,Benetton,20,21,URC,FALSE
04/03/2023,Cardiff Rugby,Ulster,20,42,URC,FALSE
04/03/2023,Dragons,Connacht,20,22,URC,FALSE
24/03/2023,Zebre,Cardiff Rugby,30,34,URC,FALSE
24/03/2023,Leinster,Stormers,22,22,URC,FALSE
25/03/2023,Benetton,Lions Super Rugby,28,32,URC,FALSE
25/03/2023,Ospreys,Dragons,37,18,URC,FALSE
25/03/2023,Connacht,Edinburgh,41,26,URC,FALSE
25/03/2023,Scarlets,The Sharks,32,20,URC,FALSE
25/03/2023,Munster,Glasgow,26,38,URC,FALSE
25/03/2023,Ulster,Bulls Super Rugby,32,23,URC,FALSE
14/04/2023,The Sharks,Benetton,43,33,URC,FALSE
14/04/2023,Glasgow,Scarlets,12,9,URC,FALSE
14/04/2023,Ulster,Dragons,40,19,URC,FALSE
15/04/2023,Bulls Super Rugby,Zebre,78,12,URC,FALSE
15/04/2023,Lions Super Rugby,Leinster,36,39,URC,FALSE
15/04/2023,Stormers,Munster,24,26,URC,FALSE
15/04/2023,Edinburgh,Ospreys,45,21,URC,FALSE
15/04/2023,Connacht,Cardiff Rugby,38,19,URC,FALSE
21/04/2023,Stormers,Benetton,38,22,URC,FALSE
21/04/2023,Ulster,Edinburgh,28,14,URC,FALSE
22/04/2023,Lions Super Rugby,Zebre,50,35,URC,FALSE
22/04/2023,Dragons,Scarlets,31,14,URC,FALSE
22/04/2023,Bulls Super Rugby,Leinster,62,7,URC,FALSE
22/04/2023,Ospreys,Cardiff Rugby,21,38,URC,FALSE
22/04/2023,The Sharks,Munster,22,22,URC,FALSE
22/04/2023,Glasgow,Connacht,29,27,URC,FALSE
05/05/2023,Ulster,Connacht,10,15,URC,FALSE
06/05/2023,Stormers,Bulls Super Rugby,33,21,URC,FALSE
06/05/2023,Leinster,The Sharks,35,5,URC,FALSE
06/05/2023,Glasgow,Munster,5,14,URC,FALSE
13/05/2023,Stormers,Connacht,43,25,URC,FALSE
13/05/2023,Leinster,Munster,15,16,URC,FALSE
27/05/2023,Stormers,Munster,14,19,URC,FALSE
21/10/2023,Zebre,Ulster,36,40,URC,FALSE
21/10/2023,Connacht,Ospreys,34,26,URC,FALSE
21/10/2023,Dragons,Edinburgh,17,22,URC,FALSE
21/10/2023,Lions Super Rugby,Stormers,33,35,URC,FALSE
21/10/2023,Cardiff Rugby,Benetton,22,23,URC,FALSE
21/10/2023,Munster,The Sharks,34,21,URC,FALSE
22/10/2023,Bulls Super Rugby,Scarlets,63,21,URC,FALSE
22/10/2023,Glasgow,Leinster,43,25,URC,FALSE
28/10/2023,Ospreys,Zebre,34,31,URC,FALSE
28/10/2023,Connacht,Glasgow,34,26,URC,FALSE
28/10/2023,Stormers,Scarlets,52,7,URC,FALSE
28/10/2023,Leinster,The Sharks,34,13,URC,FALSE
28/10/2023,Edinburgh,Lions Super Rugby,17,16,URC,FALSE
29/10/2023,Benetton,Munster,13,13,URC,FALSE
29/10/2023,Dragons,Cardiff Rugby,9,16,URC,FALSE
29/10/2023,Ulster,Bulls Super Rugby,26,19,URC,FALSE
03/11/2023,Glasgow,Stormers,20,9,URC,FALSE
03/11/2023,Ospreys,The Sharks,19,5,URC,FALSE
04/11/2023,Zebre,Bulls Super Rugby,29,54,URC,FALSE
04/11/2023,Leinster,Edinburgh,36,27,URC,FALSE
04/11/2023,Munster,Dragons,45,14,URC,FALSE
04/11/2023,Scarlets,Cardiff Rugby,31,25,URC,FALSE
04/11/2023,Connacht,Ulster,22,20,URC,FALSE
05/11/2023,Benetton,Lions Super Rugby,15,10,URC,FALSE
10/11/2023,Zebre,The Sharks,12,10,URC,FALSE
10/11/2023,Cardiff Rugby,Bulls Super Rugby,12,18,URC,FALSE
10/11/2023,Ulster,Munster,21,14,URC,FALSE
11/11/2023,Benetton,Stormers,20,17,URC,FALSE
11/11/2023,Ospreys,Glasgow,23,31,URC,FALSE
11/11/2023,Scarlets,Lions Super Rugby,23,24,URC,FALSE
11/11/2023,Edinburgh,Connacht,25,22,URC,FALSE
12/11/2023,Dragons,Leinster,10,33,URC,FALSE
17/11/2023,Edinburgh,Bulls Super Rugby,31,23,URC,FALSE
17/11/2023,Ulster,Lions Super Rugby,24,17,URC,FALSE
17/11/2023,Zebre,Cardiff Rugby,22,22,URC,FALSE
18/11/2023,The Sharks,Connacht,12,13,URC,FALSE
18/11/2023,Dragons,Ospreys,20,5,URC,FALSE
18/11/2023,Munster,Stormers,10,3,URC,FALSE
18/11/2023,Glasgow,Benetton,26,12,URC,FALSE
18/11/2023,Leinster,Scarlets,54,5,URC,FALSE
24/11/2023,Cardiff Rugby,Stormers,31,24,URC,FALSE
24/11/2023,Edinburgh,Benetton,22,24,URC,FALSE
25/11/2023,Lions Super Rugby,Zebre,61,19,URC,FALSE
25/11/2023,Bulls Super Rugby,Connacht,53,27,URC,FALSE
25/11/2023,The Sharks,Dragons,69,14,URC,FALSE
25/11/2023,Leinster,Munster,21,16,URC,FALSE
25/11/2023,Glasgow,Ulster,33,20,URC,FALSE
26/11/2023,Ospreys,Scarlets,31,9,URC,FALSE
01/12/2023,Munster,Glasgow,40,29,URC,FALSE
02/12/2023,Bulls Super Rugby,The Sharks,44,10,URC,FALSE
02/12/2023,Cardiff Rugby,Scarlets,23,29,URC,FALSE
02/12/2023,Lions Super Rugby,Dragons,49,24,URC,FALSE
02/12/2023,Stormers,Zebre,31,7,URC,FALSE
02/12/2023,Ulster,Edinburgh,24,27,URC,FALSE
02/12/2023,Benetton,Ospreys,18,13,URC,FALSE
02/12/2023,Connacht,Leinster,22,24,URC,FALSE
22/12/2023,Glasgow,Edinburgh,22,10,URC,FALSE
22/12/2023,Ulster,Connacht,20,19,URC,FALSE
23/12/2023,Zebre,Benetton,24,31,URC,FALSE
23/12/2023,Stormers,Bulls Super Rugby,26,20,URC,FALSE
26/12/2023,Cardiff Rugby,Dragons,55,21,URC,FALSE
26/12/2023,Scarlets,Ospreys,11,25,URC,FALSE
26/12/2023,Munster,Leinster,3,9,URC,FALSE
30/12/2023,Benetton,Zebre,36,14,URC,FALSE
30/12/2023,Edinburgh,Glasgow,19,14,URC,FALSE
30/12/2023,Stormers,The Sharks,16,15,URC,FALSE
01/01/2024,Connacht,Munster,22,9,URC,FALSE
01/01/2024,Ospreys,Cardiff Rugby,27,21,URC,FALSE
01/01/2024,Dragons,Scarlets,13,12,URC,FALSE
01/01/2024,Leinster,Ulster,21,22,URC,FALSE
06/01/2024,The Sharks,Lions Super Rugby,18,20,URC,FALSE
27/01/2024,Bulls Super Rugby,Lions Super Rugby,30,28,URC,FALSE
16/02/2024,Scarlets,Munster,7,42,URC,FALSE
16/02/2024,Zebre,Edinburgh,19,24,URC,FALSE
17/02/2024,Lions Super Rugby,Bulls Super Rugby,10,25,URC,FALSE
17/02/2024,Leinster,Benetton,47,18,URC,FALSE
17/02/2024,The Sharks,Stormers,21,25,URC,FALSE
17/02/2024,Cardiff Rugby,Connacht,12,16,URC,FALSE
17/02/2024,Glasgow,Dragons,40,7,URC,FALSE
18/02/2024,Ospreys,Ulster,19,17,URC,FALSE
01/03/2024,Munster,Zebre,45,29,URC,FALSE
01/03/2024,Edinburgh,Ospreys,19,15,URC,FALSE
02/03/2024,Lions Super Rugby,The Sharks,40,10,URC,FALSE
02/03/2024,Benetton,Glasgow,9,19,URC,FALSE
02/03/2024,Bulls Super Rugby,Stormers,40,22,URC,FALSE
02/03/2024,Connacht,Scarlets,26,10,URC,FALSE
02/03/2024,Cardiff Rugby,Leinster,20,33,URC,FALSE
02/03/2024,Ulster,Dragons,49,26,URC,FALSE
22/03/2024,Glasgow,Cardiff Rugby,17,13,URC,FALSE
22/03/2024,Ospreys,Munster,17,27,URC,FALSE
23/03/2024,The Sharks,Ulster,22,12,URC,FALSE
23/03/2024,Scarlets,Benetton,16,13,URC,FALSE
23/03/2024,Stormers,Edinburgh,43,21,URC,FALSE
23/03/2024,Connacht,Lions Super Rugby,14,38,URC,FALSE
23/03/2024,Dragons,Bulls Super Rugby,10,31,URC,FALSE
23/03/2024,Zebre,Leinster,7,31,URC,FALSE
29/03/2024,Dragons,Zebre,20,13,URC,FALSE
29/03/2024,Leinster,Bulls Super Rugby,47,14,URC,FALSE
30/03/2024,The Sharks,Edinburgh,23,13,URC,FALSE
30/03/2024,Benetton,Connacht,18,14,URC,FALSE
30/03/2024,Ospreys,Lions Super Rugby,36,21,URC,FALSE
30/03/2024,Stormers,Ulster,13,7,URC,FALSE
30/03/2024,Munster,Cardiff Rugby,20,15,URC,FALSE
30/03/2024,Scarlets,Glasgow,3,45,URC,FALSE
19/04/2024,Glasgow,The Sharks,21,10,URC,FALSE
19/04/2024,Ulster,Cardiff Rugby,19,17,URC,FALSE
20/04/2024,Benetton,Dragons,36,19,URC,FALSE
20/04/2024,Lions Super Rugby,Leinster,44,12,URC,FALSE
20/04/2024,Bulls Super Rugby,Munster,22,27,URC,FALSE
20/04/2024,Stormers,Ospreys,21,27,URC,FALSE
